event_id,event_name,date,category,why_attention_will_gather,meme_angle,search_keywords,ideal_accumulation_window,likely_hype_window,too_early_risk,too_late_risk,event_gravity_score,narrative_simplicity_score,timing_score,why_this_may_fail,missing_data
E001,FIFA World Cup 2026 opening,2026-06-11,sports,"Global mainstream attention converges around kickoff","country rivalry + mascot memes","world cup 2026 opening,meme coin,football memes",T-30 to T-7,"T-7 to T+2",Narrative decays if qualifiers dominate feed,Hype already priced during pre-tournament pump,10,8,9,"Competing macro news can bury meme rotation",
E002,Apple WWDC26,2026-06-08,tech,"Keynote announcements create broad social spikes","AI feature parody + fanboy/anti-Apple split","wwdc26 keynote,apple ai meme,ios launch jokes",T-21 to T-3,"T-2 to T+1",Rumor fatigue before keynote,Post-keynote sell-the-news dynamic,8,9,8,"Announcements may be incremental and underwhelm",
E003,Summer Game Fest 2026,2026-06-12,gaming,"Trailer drops and creator reactions cluster in short bursts","hype trailer edits + streamer quote memes","summer game fest 2026,game reveal meme,geoff keighley jokes",T-14 to T-2,"T-1 to T+2",Insufficient AAA reveals,Attention quickly rotates to individual titles,7,8,8,"Lineup leak could flatten surprise effect",
E004,NBA Finals 2026,2026-06-01,sports,"Finals narratives trigger daily social momentum","star player legacy meme wars","nba finals 2026,clutch meme,basketball x crypto",T-21 to T-5,"Game days and 24h post-game",Series mismatch can reduce engagement,Final outcome already consensus-priced,9,8,7,"Injuries or sweep reduce narrative depth",
E005,Toy Story 5,2026-06-19,entertainment,"Nostalgia + family audience creates broad meme participation","childhood nostalgia + character remix memes","toy story 5 meme,pixar release,nostalgia coin",T-30 to T-10,"Trailer week to opening weekend",Too early before marketing cycle,Post-opening reviews may cool momentum,8,9,6,"Franchise fatigue or weak reviews",
E006,OpenAI DevDay 2026,2026-10-15,tech,"Developer ecosystem reacts rapidly to platform updates","AI agent meme formats + productivity satire","openai devday 2026,agent meme,api launch",T-21 to T-5,"T-3 to T+2",Event date/spec not yet confirmed precisely,If announcements are enterprise-heavy retail interest may lag,9,8,5,"Low mainstream spillover outside dev circles",date confirmation
E007,GTA VI release,2026-05-26,gaming,"One of the largest gaming launches in years","crime sandbox parody + chaos clips","gta 6 release,meme coin gta,vice city meme",T-30 to T-7,"Launch week through first weekend",Delay rumors can suppress confidence,If launch quality issues dominate tone shifts negative,10,10,10,"Release delay or platform constraints",platform split details
E008,US midterm elections,2026-11-03,politics,"Polarized discourse drives sustained meme cycles","debate gaffes + candidate caricature memes","us midterm 2026 meme,election narrative coin",T-45 to T-10,"Debate nights to election week",Narrative may be too fragmented,Regulatory headline risk rises after peak attention,10,7,4,"Compliance and platform moderation risks",state-level polling consistency
E009,Solana Breakpoint 2026,2026-11-10,crypto,"Crypto-native audience focuses on ecosystem roadmap","founder quotes + chain culture memes","solana breakpoint 2026,pumpfun meme,sol ecosystem",T-21 to T-4,"T-2 to T+3",Conference details may change,Overcrowded crypto event calendar can dilute focus,8,8,4,"Weak headline announcements",speaker lineup
E010,Super Bowl LXI,2027-02-14,sports,"Peak annual US attention around game + ads","brand ad meme remixes + halftime reactions","super bowl lxi meme,halftime meme coin,ad parody",T-30 to T-7,"Media day to game night",Too early because event is far out,Late entry after ad narratives saturate,10,9,2,"Event timing too far for immediate rotation",ad lineup
E011,Avengers: Doomsday,2026-12-18,entertainment,"Franchise fandom amplifies trailer speculation","hero/villain faction memes","avengers doomsday trailer,mcu meme,marvel coin narrative",T-35 to T-10,"Trailer release to opening weekend",No trailer catalyst yet,Post-release critic split can reduce clean narrative,9,8,4,"Release schedule shifts",trailer date
E012,Dune: Part Three,2026-12-16,entertainment,"Prestige sequel builds long-tail hype among cinephiles","sandworm + prophecy meme templates","dune part three meme,arrakis meme coin,denis villeneuve buzz",T-35 to T-12,"Trailer windows and premiere week",Too early without marketing push,Niche audience may cap meme scale,8,7,4,"Release/titling uncertainty",official subtitle
