event_id,event_name,category,date,event_gravity_score,narrative_simplicity_score,timing_score,preliminary_total_score,priority_class,ticker_candidates,search_keywords,likely_hype_window,too_early_late_risk,danger_flags,missing_data,why_this_may_fail
E007,GTA VI release,gaming,2026-05-26,10,10,10,30,Wait,GTAVI(direct) | GTAX(derivative) | WAGMI(slang) | CRIMES(meme_phrase),"gta 6 release,meme coin gta,vice city meme",Launch week through first weekend,early:Delay rumors can suppress confidence / late:If launch quality issues dominate tone shifts negative,delay_risk|missing_data,platform split details,Release delay or platform constraints
E001,FIFA World Cup 2026 opening,sports,2026-06-11,10,8,9,27,Ignore,FIFAWO(direct) | FIFAX(derivative) | WAGMI(slang) | COUNTR(meme_phrase),"world cup 2026 opening,meme coin,football memes",T-7 to T+2,early:Narrative decays if qualifiers dominate feed / late:Hype already priced during pre-tournament pump,,,Competing macro news can bury meme rotation
E002,Apple WWDC26,tech,2026-06-08,8,9,8,25,Ignore,APPLEW(direct) | APPLEX(derivative) | WAGMI(slang) | AIFEAT(meme_phrase),"wwdc26 keynote,apple ai meme,ios launch jokes",T-2 to T+1,early:Rumor fatigue before keynote / late:Post-keynote sell-the-news dynamic,,,Announcements may be incremental and underwhelm
E004,NBA Finals 2026,sports,2026-06-01,9,8,7,24,Ignore,NBAFIN(direct) | NBAX(derivative) | WAGMI(slang) | STARPL(meme_phrase),"nba finals 2026,clutch meme,basketball x crypto",Game days and 24h post-game,early:Series mismatch can reduce engagement / late:Final outcome already consensus-priced,,,Injuries or sweep reduce narrative depth
E003,Summer Game Fest 2026,gaming,2026-06-12,7,8,8,23,Ignore,SUMMER(direct) | SUMMER(derivative) | WAGMI(slang) | HYPETR(meme_phrase),"summer game fest 2026,game reveal meme,geoff keighley jokes",T-1 to T+2,early:Insufficient AAA reveals / late:Attention quickly rotates to individual titles,,,Lineup leak could flatten surprise effect
E005,Toy Story 5,entertainment,2026-06-19,8,9,6,23,Ignore,TOYSTO(direct) | TOYX(derivative) | WAGMI(slang) | CHILDH(meme_phrase),"toy story 5 meme,pixar release,nostalgia coin",Trailer week to opening weekend,early:Too early before marketing cycle / late:Post-opening reviews may cool momentum,,,Franchise fatigue or weak reviews
E006,OpenAI DevDay 2026,tech,2026-10-15,9,8,5,22,Ignore,OPENAI(direct) | OPENAI(derivative) | WAGMI(slang) | AIAGEN(meme_phrase),"openai devday 2026,agent meme,api launch",T-3 to T+2,early:Event date/spec not yet confirmed precisely / late:If announcements are enterprise-heavy retail interest may lag,missing_data,date confirmation,Low mainstream spillover outside dev circles
E008,US midterm elections,politics,2026-11-03,10,7,4,21,Ignore,USMIDT(direct) | USX(derivative) | USA(location) | WAGMI(slang) | DEBATE(meme_phrase),"us midterm 2026 meme,election narrative coin",Debate nights to election week,early:Narrative may be too fragmented / late:Regulatory headline risk rises after peak attention,timing_weak|missing_data,state-level polling consistency,Compliance and platform moderation risks
E010,Super Bowl LXI,sports,2027-02-14,10,9,2,21,Ignore,SUPERB(direct) | SUPERX(derivative) | USA(location) | WAGMI(slang) | BRANDA(meme_phrase),"super bowl lxi meme,halftime meme coin,ad parody",Media day to game night,early:Too early because event is far out / late:Late entry after ad narratives saturate,timing_weak|missing_data,ad lineup,Event timing too far for immediate rotation
E011,Avengers: Doomsday,entertainment,2026-12-18,9,8,4,21,Ignore,AVENGE(direct) | AVENGE(derivative) | WAGMI(slang) | HEROVI(meme_phrase),"avengers doomsday trailer,mcu meme,marvel coin narrative",Trailer release to opening weekend,early:No trailer catalyst yet / late:Post-release critic split can reduce clean narrative,timing_weak|missing_data,trailer date,Release schedule shifts
E009,Solana Breakpoint 2026,crypto,2026-11-10,8,8,4,20,Ignore,SOLANA(direct) | SOLANA(derivative) | WAGMI(slang) | FOUNDE(meme_phrase),"solana breakpoint 2026,pumpfun meme,sol ecosystem",T-2 to T+3,early:Conference details may change / late:Overcrowded crypto event calendar can dilute focus,timing_weak|missing_data,speaker lineup,Weak headline announcements
E012,Dune: Part Three,entertainment,2026-12-16,8,7,4,19,Ignore,DUNEPA(direct) | DUNEX(derivative) | WAGMI(slang) | SANDWO(meme_phrase),"dune part three meme,arrakis meme coin,denis villeneuve buzz",Trailer windows and premiere week,early:Too early without marketing push / late:Niche audience may cap meme scale,timing_weak|missing_data,official subtitle,Release/titling uncertainty
